date,city,weather,sunriseTime,sunsetTime,precipProbability,precipType,temperatureHigh,temperatureLow,humidity,pressure,windSpeed,day
2019-12-31,Beijing,4,23:12:00,09:19:00,0.38,0,44.95,39.11,0.73,1031.2,5.95,2019-12-31
2020-01-01,Beijing,4,23:13:00,09:19:00,0.53,0,50.32,41.26,0.83,1029.5,4.57,2020-01-01
2020-01-02,Beijing,4,23:13:00,09:20:00,0.59,0,47.16,44.4,0.87,1028.3,4.76,2020-01-02
2020-01-03,Beijing,4,23:13:00,09:21:00,0.53,0,48.94,45.18,0.89,1026.7,6.65,2020-01-03
2020-01-04,Beijing,4,23:13:00,09:22:00,0.94,0,52.98,48.09,0.9,1022.2,10.94,2020-01-04
2020-01-05,Beijing,4,23:13:00,09:22:00,1.0,0,49.32,40.28,0.93,1020.0,6.09,2020-01-05
2020-01-06,Beijing,4,23:13:00,09:23:00,0.95,0,41.6,35.31,0.88,1019.9,14.68,2020-01-06
2020-01-07,Beijing,4,23:13:00,09:24:00,0.37,0,44.15,35.02,0.77,1029.6,7.49,2020-01-07
2020-01-08,Beijing,4,23:13:00,09:25:00,0.81,0,40.7,38.63,0.87,1026.3,8.28,2020-01-08
2020-01-09,Beijing,4,23:13:00,09:26:00,0.94,0,41.97,38.9,0.9,1023.5,7.18,2020-01-09
2020-01-10,Beijing,4,23:13:00,09:26:00,0.89,0,42.28,30.45,0.88,1024.2,6.5,2020-01-10
2020-01-11,Beijing,0,23:13:00,09:27:00,0.06,0,48.21,32.79,0.78,1025.2,3.7,2020-01-11
2020-01-12,Beijing,3,23:13:00,09:28:00,0.05,0,48.57,31.31,0.77,1024.6,2.89,2020-01-12
2020-01-13,Beijing,3,23:13:00,09:29:00,0.12,0,45.15,31.58,0.69,1028.9,6.84,2020-01-13
2020-01-14,Beijing,4,23:13:00,09:30:00,0.88,0,38.1,32.97,0.84,1027.6,9.74,2020-01-14
2020-01-15,Beijing,4,23:13:00,09:31:00,0.9,0,39.22,33.43,0.95,1027.9,8.03,2020-01-15
2020-01-16,Beijing,1,23:12:00,09:32:00,0.16,0,43.22,32.97,0.81,1029.1,5.19,2020-01-16
2020-01-17,Beijing,3,23:12:00,09:33:00,0.05,0,45.0,32.09,0.75,1027.2,2.55,2020-01-17
2020-01-18,Beijing,0,23:12:00,09:33:00,0.0,0,51.81,32.0,0.71,1025.4,6.19,2020-01-18
2020-01-19,Beijing,3,23:12:00,09:34:00,0.03,0,55.57,36.09,0.66,1026.6,3.4,2020-01-19
2020-01-20,Beijing,4,23:11:00,09:35:00,0.65,0,45.07,39.52,0.82,1024.7,6.27,2020-01-20
2020-01-21,Beijing,4,23:11:00,09:36:00,0.94,0,46.46,42.29,0.89,1022.4,3.95,2020-01-21
2020-01-22,Beijing,4,23:11:00,09:37:00,0.72,0,49.02,41.96,0.88,1024.6,7.13,2020-01-22
2020-01-23,Beijing,4,23:10:00,09:38:00,0.9,0,46.72,37.5,0.84,1029.0,11.61,2020-01-23
2020-01-24,Beijing,4,23:10:00,09:39:00,0.78,0,46.25,36.37,0.81,1029.6,10.13,2020-01-24
2020-01-25,Beijing,4,23:09:00,09:40:00,0.97,0,38.26,34.97,0.93,1025.9,11.25,2020-01-25
2020-01-26,Beijing,4,23:09:00,09:41:00,0.53,0,43.46,32.15,0.84,1024.3,8.28,2020-01-26
2020-01-27,Beijing,3,23:08:00,09:42:00,0.09,0,48.78,31.2,0.74,1024.4,6.4,2020-01-27
2020-01-28,Beijing,0,23:08:00,09:43:00,0.21,0,52.3,32.33,0.74,1025.2,6.55,2020-01-28
2020-01-29,Beijing,0,23:07:00,09:44:00,0.05,0,51.24,30.3,0.69,1026.0,6.47,2020-01-29
2020-01-30,Beijing,0,23:07:00,09:45:00,0.03,1,54.68,33.09,0.66,1026.2,3.63,2020-01-30
2020-01-31,Beijing,3,23:06:00,09:45:00,0.07,0,57.09,38.21,0.61,1025.8,6.55,2020-01-31
2020-02-01,Beijing,3,23:05:00,09:46:00,0.04,0,58.44,39.09,0.57,1025.4,5.17,2020-02-01
2020-02-02,Beijing,3,23:05:00,09:47:00,0.03,0,55.93,35.98,0.66,1027.6,8.03,2020-02-02
2020-02-03,Beijing,0,23:04:00,09:48:00,0.08,0,59.79,37.6,0.72,1025.3,4.45,2020-02-03
