date,city,weather,sunriseTime,sunsetTime,precipProbability,precipType,temperatureHigh,temperatureLow,humidity,pressure,windSpeed,day
2019-12-31,New Delhi,4,01:26:00,12:19:00,0.7,0,72.76,60.06,0.85,1016.2,7.97,2019-12-31
2020-01-01,New Delhi,4,01:26:00,12:19:00,0.84,0,69.67,59.7,0.87,1017.7,6.27,2020-01-01
2020-01-02,New Delhi,3,01:27:00,12:20:00,0.21,0,76.69,60.1,0.82,1016.3,4.52,2020-01-02
2020-01-03,New Delhi,3,01:27:00,12:21:00,0.13,0,77.46,55.97,0.77,1015.2,3.62,2020-01-03
2020-01-04,New Delhi,0,01:27:00,12:21:00,0.05,0,77.1,52.19,0.6,1016.8,6.34,2020-01-04
2020-01-05,New Delhi,0,01:27:00,12:22:00,0.01,0,79.01,55.27,0.58,1018.2,4.86,2020-01-05
2020-01-06,New Delhi,0,01:28:00,12:23:00,0.05,0,82.41,63.33,0.61,1016.1,3.95,2020-01-06
2020-01-07,New Delhi,4,01:28:00,12:23:00,0.79,0,79.63,61.87,0.79,1013.3,5.02,2020-01-07
2020-01-08,New Delhi,3,01:28:00,12:24:00,0.09,0,78.77,50.46,0.65,1015.0,5.6,2020-01-08
2020-01-09,New Delhi,0,01:28:00,12:24:00,0.02,0,77.67,46.31,0.52,1017.7,6.62,2020-01-09
2020-01-10,New Delhi,0,01:28:00,12:25:00,0.02,0,77.99,49.17,0.5,1018.3,4.47,2020-01-10
2020-01-11,New Delhi,0,01:28:00,12:26:00,0.02,0,81.03,53.76,0.51,1016.5,2.95,2020-01-11
2020-01-12,New Delhi,0,01:29:00,12:27:00,0.02,0,84.56,56.92,0.45,1013.1,2.95,2020-01-12
2020-01-13,New Delhi,0,01:29:00,12:27:00,0.0,0,86.1,62.32,0.41,1012.9,3.47,2020-01-13
2020-01-14,New Delhi,3,01:29:00,12:28:00,0.08,0,86.32,63.09,0.58,1013.2,5.41,2020-01-14
2020-01-15,New Delhi,3,01:29:00,12:29:00,0.18,0,82.35,62.25,0.65,1013.0,6.29,2020-01-15
2020-01-16,New Delhi,3,01:29:00,12:29:00,0.04,0,82.33,58.41,0.5,1014.2,3.87,2020-01-16
2020-01-17,New Delhi,3,01:29:00,12:30:00,0.06,0,84.22,61.31,0.64,1015.0,4.2,2020-01-17
2020-01-18,New Delhi,3,01:29:00,12:31:00,0.03,0,83.04,58.77,0.7,1015.7,4.91,2020-01-18
2020-01-19,New Delhi,0,01:29:00,12:31:00,0.03,0,83.4,58.65,0.62,1016.4,4.71,2020-01-19
2020-01-20,New Delhi,0,01:29:00,12:32:00,0.04,0,86.35,64.68,0.66,1016.3,4.71,2020-01-20
2020-01-21,New Delhi,3,01:28:00,12:33:00,0.12,0,88.36,64.79,0.67,1016.8,4.26,2020-01-21
2020-01-22,New Delhi,3,01:28:00,12:33:00,0.12,0,87.24,61.98,0.64,1016.4,3.94,2020-01-22
2020-01-23,New Delhi,3,01:28:00,12:34:00,0.02,0,86.96,63.11,0.58,1016.1,3.92,2020-01-23
2020-01-24,New Delhi,0,01:28:00,12:35:00,0.03,0,87.25,59.02,0.56,1014.8,4.13,2020-01-24
2020-01-25,New Delhi,0,01:28:00,12:35:00,0.05,0,89.0,59.42,0.51,1014.0,3.12,2020-01-25
2020-01-26,New Delhi,0,01:28:00,12:36:00,0.09,0,87.94,63.9,0.5,1011.6,4.67,2020-01-26
2020-01-27,New Delhi,0,01:27:00,12:37:00,0.09,0,86.99,61.11,0.51,1010.7,7.1,2020-01-27
2020-01-28,New Delhi,0,01:27:00,12:37:00,0.09,0,84.93,57.32,0.58,1014.8,5.19,2020-01-28
2020-01-29,New Delhi,0,01:27:00,12:38:00,0.03,0,83.65,53.81,0.53,1015.7,5.35,2020-01-29
2020-01-30,New Delhi,0,01:27:00,12:38:00,0.01,0,84.15,55.95,0.47,1014.4,5.89,2020-01-30
2020-01-31,New Delhi,3,01:26:00,12:39:00,0.07,0,81.07,56.88,0.53,1015.3,6.46,2020-01-31
2020-02-01,New Delhi,0,01:26:00,12:40:00,0.05,0,82.43,58.62,0.48,1017.3,7.74,2020-02-01
2020-02-02,New Delhi,0,01:26:00,12:40:00,0.06,0,82.39,62.49,0.58,1016.4,6.49,2020-02-02
2020-02-03,New Delhi,4,01:25:00,12:41:00,0.44,0,83.02,65.13,0.73,1013.8,5.16,2020-02-03
2020-02-04,New Delhi,3,01:25:00,12:42:00,0.07,0,84.23,64.0,0.67,1014.4,6.19,2020-02-04
2020-02-05,New Delhi,3,01:24:00,12:42:00,0.18,0,82.5,61.13,0.67,1013.6,5.3,2020-02-05
2020-02-06,New Delhi,4,01:24:00,12:43:00,0.34,0,85.05,61.14,0.71,1014.4,6.73,2020-02-06
2020-02-07,New Delhi,0,01:24:00,12:43:00,0.05,0,82.12,56.86,0.62,1017.1,9.14,2020-02-07
2020-02-08,New Delhi,0,01:23:00,12:44:00,0.04,0,82.67,55.43,0.5,1019.1,8.01,2020-02-08
2020-02-09,New Delhi,0,01:23:00,12:44:00,0.07,0,83.89,58.43,0.54,1017.9,5.21,2020-02-09
2020-02-10,New Delhi,0,01:22:00,12:45:00,0.04,0,84.02,62.21,0.53,1017.7,4.85,2020-02-10
2020-02-11,New Delhi,0,01:22:00,12:46:00,0.03,0,89.81,62.66,0.52,1018.1,3.72,2020-02-11
2020-02-12,New Delhi,0,01:21:00,12:46:00,0.05,0,91.92,61.63,0.39,1016.7,2.94,2020-02-12
2020-02-13,New Delhi,0,01:21:00,12:47:00,0.01,0,93.56,61.37,0.4,1013.5,4.4,2020-02-13
2020-02-14,New Delhi,0,01:20:00,12:47:00,0.02,0,93.42,61.99,0.42,1013.9,3.24,2020-02-14
