date,city,weather,sunriseTime,sunsetTime,precipProbability,precipType,temperatureHigh,temperatureLow,humidity,pressure,windSpeed,day
2019-12-31,New York,0,12:50:00,22:54:00,0.04,0,60.37,32.53,0.63,1019.4,5.86,2019-12-31
2020-01-01,New York,0,12:50:00,22:54:00,0.07,0,61.0,47.42,0.61,1018.4,2.3,2020-01-01
2020-01-02,New York,4,12:50:00,22:55:00,0.96,0,68.09,61.2,0.88,1011.2,7.9,2020-01-02
2020-01-03,New York,4,12:50:00,22:56:00,0.98,0,63.4,54.9,0.95,1011.4,5.23,2020-01-03
2020-01-04,New York,4,12:51:00,22:57:00,0.37,0,59.38,30.98,0.71,1019.7,9.91,2020-01-04
2020-01-05,New York,0,12:51:00,22:57:00,0.06,0,60.45,35.99,0.64,1027.8,2.78,2020-01-05
2020-01-06,New York,0,12:51:00,22:58:00,0.06,0,67.34,50.55,0.76,1022.4,3.6,2020-01-06
2020-01-07,New York,0,12:51:00,22:59:00,0.12,0,62.47,31.89,0.57,1023.2,8.67,2020-01-07
2020-01-08,New York,0,12:51:00,23:00:00,0.03,0,63.61,34.41,0.57,1030.1,2.66,2020-01-08
2020-01-09,New York,3,12:51:00,23:01:00,0.07,0,68.21,58.47,0.62,1028.8,7.28,2020-01-09
2020-01-10,New York,4,12:51:00,23:01:00,0.38,0,75.02,67.79,0.74,1023.7,10.44,2020-01-10
2020-01-11,New York,4,12:51:00,23:02:00,0.92,0,76.38,48.61,0.86,1015.6,13.16,2020-01-11
2020-01-12,New York,4,12:51:00,23:03:00,0.63,0,67.68,59.46,0.86,1023.8,2.63,2020-01-12
2020-01-13,New York,4,12:51:00,23:04:00,1.0,0,66.92,64.25,0.96,1024.7,3.57,2020-01-13
2020-01-14,New York,4,12:50:00,23:05:00,0.98,0,71.91,58.62,0.96,1022.7,5.2,2020-01-14
2020-01-15,New York,4,12:50:00,23:06:00,0.48,0,72.76,63.81,0.94,1021.8,3.06,2020-01-15
