date,city,weather,sunriseTime,sunsetTime,precipProbability,precipType,temperatureHigh,temperatureLow,humidity,pressure,windSpeed,day
2019-12-31,Sydney,0,18:53:00,09:24:00,0.11,0,92.24,48.86,0.53,1013.5,3.96,2019-12-31
2020-01-01,Sydney,0,18:54:00,09:24:00,0.04,0,90.4,49.83,0.56,1017.3,3.76,2020-01-01
2020-01-02,Sydney,0,18:54:00,09:24:00,0.0,0,94.53,62.3,0.57,1014.2,3.63,2020-01-02
2020-01-03,Sydney,0,18:55:00,09:24:00,0.09,0,104.66,61.24,0.4,1008.4,6.05,2020-01-03
2020-01-04,Sydney,3,18:56:00,09:24:00,0.11,0,80.83,54.63,0.64,1016.9,5.63,2020-01-04
2020-01-05,Sydney,4,18:57:00,09:24:00,0.64,0,73.38,58.48,0.82,1018.5,3.4,2020-01-05
2020-01-06,Sydney,3,18:58:00,09:24:00,0.17,0,89.59,60.02,0.67,1014.3,4.51,2020-01-06
2020-01-07,Sydney,3,18:59:00,09:24:00,0.24,0,86.88,57.42,0.74,1015.2,5.11,2020-01-07
2020-01-08,Sydney,3,19:00:00,09:24:00,0.05,0,79.94,58.02,0.73,1016.5,5.68,2020-01-08
2020-01-09,Sydney,3,19:00:00,09:24:00,0.03,0,95.26,56.82,0.63,1009.0,4.87,2020-01-09
2020-01-10,Sydney,4,19:01:00,09:24:00,0.26,0,80.71,53.16,0.63,1010.9,4.54,2020-01-10
2020-01-11,Sydney,3,19:02:00,09:24:00,0.11,0,74.48,47.49,0.68,1017.4,4.7,2020-01-11
2020-01-12,Sydney,0,19:03:00,09:24:00,0.09,0,82.94,53.48,0.63,1017.8,4.05,2020-01-12
2020-01-13,Sydney,3,19:04:00,09:23:00,0.06,0,85.58,54.35,0.69,1016.4,4.29,2020-01-13
2020-01-14,Sydney,4,19:05:00,09:23:00,0.31,0,84.33,62.14,0.71,1012.5,3.6,2020-01-14
2020-01-15,Sydney,4,19:06:00,09:23:00,0.78,0,83.72,59.78,0.74,1007.5,3.42,2020-01-15
2020-01-16,Sydney,4,19:07:00,09:22:00,0.42,0,73.98,58.48,0.86,1010.3,4.66,2020-01-16
2020-01-17,Sydney,3,19:08:00,09:22:00,0.24,0,77.31,54.07,0.75,1010.6,6.22,2020-01-17
2020-01-18,Sydney,4,19:09:00,09:22:00,0.38,0,83.03,59.48,0.75,1007.4,3.44,2020-01-18
2020-01-19,Sydney,4,19:10:00,09:21:00,0.61,0,74.18,55.01,0.79,1003.4,3.86,2020-01-19
2020-01-20,Sydney,3,19:11:00,09:21:00,0.14,0,78.91,53.46,0.67,1006.9,5.12,2020-01-20
2020-01-21,Sydney,0,19:12:00,09:20:00,0.01,0,85.36,62.54,0.59,1008.5,5.12,2020-01-21
2020-01-22,Sydney,6,19:13:00,09:20:00,0.07,0,84.32,57.41,0.41,1001.8,10.35,2020-01-22
2020-01-23,Sydney,0,19:14:00,09:19:00,0.09,0,81.86,55.17,0.49,1010.1,4.59,2020-01-23
2020-01-24,Sydney,0,19:15:00,09:19:00,0.17,0,85.76,59.12,0.65,1013.7,3.79,2020-01-24
2020-01-25,Sydney,0,19:17:00,09:18:00,0.04,0,88.51,55.5,0.53,1011.9,4.33,2020-01-25
2020-01-26,Sydney,0,19:18:00,09:18:00,0.02,0,91.06,60.58,0.61,1013.4,3.41,2020-01-26
2020-01-27,Sydney,3,19:19:00,09:17:00,0.04,0,90.02,57.65,0.56,1012.7,3.92,2020-01-27
2020-01-28,Sydney,3,19:20:00,09:16:00,0.08,0,89.87,56.65,0.63,1015.6,2.94,2020-01-28
2020-01-29,Sydney,0,19:21:00,09:16:00,0.06,0,95.64,64.52,0.54,1014.8,3.4,2020-01-29
2020-01-30,Sydney,0,19:22:00,09:15:00,0.07,0,102.46,74.05,0.35,1012.5,4.36,2020-01-30
2020-01-31,Sydney,0,19:23:00,09:14:00,0.11,0,101.67,74.1,0.38,1009.1,5.35,2020-01-31
2020-02-01,Sydney,0,19:24:00,09:14:00,0.08,0,89.51,53.74,0.52,1007.2,6.65,2020-02-01
2020-02-02,Sydney,0,19:25:00,09:13:00,0.02,0,81.29,42.45,0.45,1008.2,5.53,2020-02-02
2020-02-03,Sydney,0,19:26:00,09:12:00,0.04,0,77.06,48.03,0.46,1018.9,5.57,2020-02-03
2020-02-04,Sydney,3,19:27:00,09:11:00,0.05,0,83.52,57.61,0.65,1018.9,3.46,2020-02-04
2020-02-05,Sydney,4,19:28:00,09:10:00,0.31,0,74.31,59.08,0.77,1021.2,4.22,2020-02-05
2020-02-06,Sydney,4,19:29:00,09:09:00,0.44,0,72.26,58.11,0.78,1021.1,5.58,2020-02-06
2020-02-07,Sydney,4,19:30:00,09:08:00,0.6,0,69.1,57.01,0.83,1020.6,9.15,2020-02-07
2020-02-08,Sydney,4,19:31:00,09:07:00,0.96,0,59.87,57.75,0.93,1016.3,11.64,2020-02-08
2020-02-09,Sydney,4,19:32:00,09:07:00,0.98,0,76.8,60.5,0.92,1009.1,4.6,2020-02-09
2020-02-10,Sydney,4,19:34:00,09:06:00,0.82,0,79.27,60.14,0.86,1008.6,2.32,2020-02-10
2020-02-11,Sydney,4,19:35:00,09:05:00,0.27,0,80.34,62.99,0.81,1011.1,5.1,2020-02-11
2020-02-12,Sydney,4,19:36:00,09:04:00,0.69,0,75.45,60.44,0.93,1011.6,4.34,2020-02-12
2020-02-13,Sydney,4,19:37:00,09:02:00,0.36,0,79.14,60.66,0.87,1008.9,1.86,2020-02-13
2020-02-14,Sydney,4,19:38:00,09:01:00,0.59,0,79.62,59.68,0.85,1006.8,2.47,2020-02-14
2020-02-15,Sydney,4,19:39:00,09:00:00,0.44,0,74.7,57.83,0.9,1013.4,3.44,2020-02-15
2020-02-16,Sydney,4,19:40:00,08:59:00,0.4,0,73.32,59.06,0.92,1013.1,2.28,2020-02-16
2020-02-17,Sydney,4,19:41:00,08:58:00,0.39,0,83.1,52.72,0.82,1006.4,5.04,2020-02-17
2020-02-18,Sydney,3,19:42:00,08:57:00,0.19,0,68.36,46.11,0.68,1004.8,5.41,2020-02-18
2020-02-19,Sydney,0,19:43:00,08:56:00,0.05,0,73.86,53.97,0.68,1010.9,3.09,2020-02-19
2020-02-20,Sydney,4,19:44:00,08:55:00,0.29,0,76.14,52.34,0.78,1016.2,2.98,2020-02-20
2020-02-21,Sydney,3,19:45:00,08:53:00,0.17,0,72.02,56.2,0.79,1022.3,3.52,2020-02-21
2020-02-22,Sydney,1,19:46:00,08:52:00,0.15,0,78.03,55.03,0.73,1022.2,2.77,2020-02-22
